Pheno,UKB ID,IDP short name,,Units,Type,Cat.,Category name,IDP description,N(disc),Npar(disc),Nnonpar(disc),N(rep),Npar(rep),Nnonpar(rep),N(all),Npar(all),Nnonpar(all),Heritability,Heritability(SE)
1,25001,IDP_T1_SIENAX_peripheral_grey_normalised_volume,,mm3,float,1,regional and tissue volume,"Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.59E-01,2.21E-02
2,25002,IDP_T1_SIENAX_peripheral_grey_unnormalised_volume,,mm3,float,1,regional and tissue volume,Volume of peripheral cortical grey matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.57E-01,2.17E-02
3,25003,IDP_T1_SIENAX_CSF_normalised_volume,,mm3,float,1,regional and tissue volume,"Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.88E-01,2.38E-02
4,25004,IDP_T1_SIENAX_CSF_unnormalised_volume,,mm3,float,1,regional and tissue volume,Volume of ventricular cerebrospinal fluid (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.88E-01,2.39E-02
5,25005,IDP_T1_SIENAX_grey_normalised_volume,,mm3,float,1,regional and tissue volume,"Volume of grey matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.31E-01,2.19E-02
6,25006,IDP_T1_SIENAX_grey_unnormalised_volume,,mm3,float,1,regional and tissue volume,Volume of grey matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.27E-01,2.14E-02
7,25007,IDP_T1_SIENAX_white_normalised_volume,,mm3,float,1,regional and tissue volume,"Volume of white matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.91E-01,2.53E-02
8,25008,IDP_T1_SIENAX_white_unnormalised_volume,,mm3,float,1,regional and tissue volume,Volume of white matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.89E-01,2.55E-02
9,25009,IDP_T1_SIENAX_brain-normalised_volume,,mm3,float,1,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image, normalised for head size",22138,22117,22126,11086,-,-,33224,33197,33209,2.51E-01,2.42E-02
10,25010,IDP_T1_SIENAX_brain-unnormalised_volume,,mm3,float,1,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image",22138,22117,22126,11086,-,-,33224,33197,33209,2.49E-01,2.40E-02
11,25011,IDP_T1_FIRST_left_thalamus_volume,,mm3,float,1,regional and tissue volume,Volume of left thalamus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.57E-01,2.38E-02
12,25012,IDP_T1_FIRST_right_thalamus_volume,,mm3,float,1,regional and tissue volume,Volume of right thalamus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.60E-01,2.33E-02
13,25013,IDP_T1_FIRST_left_caudate_volume,,mm3,float,1,regional and tissue volume,Volume of left caudate (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,3.45E-01,2.56E-02
14,25014,IDP_T1_FIRST_right_caudate_volume,,mm3,float,1,regional and tissue volume,Volume of right caudate (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,3.47E-01,2.60E-02
15,25015,IDP_T1_FIRST_left_putamen_volume,,mm3,float,1,regional and tissue volume,Volume of left putamen (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.53E-01,2.45E-02
16,25016,IDP_T1_FIRST_right_putamen_volume,,mm3,float,1,regional and tissue volume,Volume of right putamen (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.88E-01,2.60E-02
